date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:50	58197/58197	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/checkout.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/checkout.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:51	49924/49924	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/purchase-guide.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/purchase-guide.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:51	54419/54419	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/blogs-grid-without-sidebar.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/blogs-grid-without-sidebar.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:52	52263/52263	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/blogs-list-with-sidebar.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/blogs-list-with-sidebar.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:53	66145/66145	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/single-blog.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/single-blog.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:53	53802/53802	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jexi/default/contact-us.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/contact-us.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:54	53082/53082	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jexi/default/contact-me.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/contact-me.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:54	10207/10207	---M--	200	added ('OK')	image/png	etag:%22663b57fa-2848%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-5.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-5.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:54	22911/22911	---M--	200	added ('OK')	image/png	etag:%22663b57fa-67ae%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-6.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-6.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:55	4698/4698	---M--	200	added ('OK')	image/png	etag:%22663b57fa-1d56%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-7.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-7.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
